Fabricante	Norma		Classe	DN pol  DE mm	(e)mm	Peso
FABTUB		NBR_5590	SCH05	1/2	21.34	1.65	0.8165
FABTUB		NBR_5590	SCH05	3/4	26.67	1.65	1.0376
FABTUB		NBR_5590	SCH05	1	33.4	1.65	1.3166
FABTUB		NBR_5590	SCH05	1.1/4	42.16	1.65	1.6799
FABTUB		NBR_5590	SCH05	1.1/2	48.26	1.65	1.9329
FABTUB		NBR_5590	SCH05	2	60.33	1.65	2.4334
FABTUB		NBR_5590	SCH05	2.1/2	73.03	2.11	3.7609
FABTUB		NBR_5590	SCH05	3	88.9	2.11	4.6025
FABTUB		NBR_5590	SCH05	3.1/2	101.6	2.11	5.276
FABTUB		NBR_5590	SCH05	4	114.3	2.11	5.9495
FABTUB		NBR_5590	SCH05	5	141.3	2.77	9.6442
FABTUB		NBR_5590	SCH05	6	168.28	2.77	11.5225
FABTUB		NBR_5590	SCH05	8	219.08	2.77	15.059
FABTUB		NBR_5590	SCH05	10	273.05	3.4	23.042
FABTUB		NBR_5590	SCH05	12	323.85	3.96	31.8373
FABTUB		NBR_5590	SCH05	14	355.6	3.96	34.9973
FABTUB		NBR_5590	SCH05	16	406.4	4.2	42.4553
FABTUB		NBR_5590	SCH05	18	457.2	4.2	47.8177
FABTUB		NBR_5590	SCH05	20	508	4.78	60.4542
FABTUB		NBR_5590	SCH05	22	558.8	4.78	66.5571
FABTUB		NBR_5590	SCH05	24	609.6	5.54	84.1067
FABTUB		NBR_5590	SCH10	1/8	10.29	1.24	0.282
FABTUB		NBR_5590	SCH10	1/4	13.72	1.65	0.5005
FABTUB		NBR_5590	SCH10	3/8	17.15	1.65	0.6428
FABTUB		NBR_5590	SCH10	1/2	21.34	2.11	1.0198
FABTUB		NBR_5590	SCH10	3/4	26.67	2.11	1.3024
FABTUB		NBR_5590	SCH10	1	33.4	2.77	2.1324
FABTUB		NBR_5590	SCH10	1.1/4	42.16	2.77	2.7422
FABTUB		NBR_5590	SCH10	1.1/2	48.26	2.77	3.1669
FABTUB		NBR_5590	SCH10	2	60.33	2.77	4.0072
FABTUB		NBR_5590	SCH10	2.1/2	73.03	3.05	5.3643
FABTUB		NBR_5590	SCH10	3	88.9	3.05	6.5808
FABTUB		NBR_5590	SCH10	3.1/2	101.6	3.05	7.5544
FABTUB		NBR_5590	SCH10	4	114.3	3.05	8.5279
FABTUB		NBR_5590	SCH10	5	141.3	3.4	11.7838
FABTUB		NBR_5590	SCH10	6	168.28	3.4	14.0892
FABTUB		NBR_5590	SCH10	8	219.08	3.76	20.3476
FABTUB		NBR_5590	SCH10	10	273.05	4.19	28.3127
FABTUB		NBR_5590	SCH10	12	323.85	4.57	36.6715
FABTUB		NBR_5590	SCH10	14	355.6	4.78	42.1457
FABTUB		NBR_5590	SCH10	16	406.4	4.78	48.2485
FABTUB		NBR_5590	SCH10	18	457.2	4.75	54.0138
FABTUB		NBR_5590	SCH10	20	508	5.54	69.9604
FABTUB		NBR_5590	SCH10	22	558.8	5.54	77.0336
FABTUB		NBR_5590	SCH10	24	609.6	6.35	96.2746
FABTUB		NBR_5590	SCH40	1/8	10.29	1.73	0.3722
FABTUB		NBR_5590	SCH40	1/4	13.72	2.24	0.6463
FABTUB		NBR_5590	SCH40	3/8	17.15	2.31	0.8616
FABTUB		NBR_5590	SCH40	1/2	21.34	2.77	1.2928
FABTUB		NBR_5590	SCH40	3/4	26.67	2.87	1.7167
FABTUB		NBR_5590	SCH40	1	33.4	3.38	2.5502
FABTUB		NBR_5590	SCH40	1.1/4	42.16	3.56	3.4536
FABTUB		NBR_5590	SCH40	1.1/2	48.26	3.68	4.1231
FABTUB		NBR_5590	SCH40	2	60.33	3.91	5.5444
FABTUB		NBR_5590	SCH40	2.1/2	73.03	5.16	8.8017
FABTUB		NBR_5590	SCH40	3	88.9	5.49	11.5088
FABTUB		NBR_5590	SCH40	3.1/2	101.6	5.74	13.829
FABTUB		NBR_5590	SCH40	4	114.3	6.02	16.3827
FABTUB		NBR_5590	SCH40	5	141.3	6.55	22.1825
FABTUB		NBR_5590	SCH40	6	168.28	7.11	28.8001
FABTUB		NBR_5590	SCH40	8	219.08	8.18	43.3582
FABTUB		NBR_5590	SCH40	10	273.05	9.27	61.4557
FABTUB		NBR_5590	SCH40	12	323.85	9.53	75.2845
FABTUB		NBR_5590	SCH80	1/8	10.29	2.41	0.4773
FABTUB		NBR_5590	SCH80	1/4	13.72	3.02	0.8121
FABTUB		NBR_5590	SCH80	3/8	17.15	3.2	1.1219
FABTUB		NBR_5590	SCH80	1/2	21.34	3.73	1.6509
FABTUB		NBR_5590	SCH80	3/4	26.67	3.91	2.2366
FABTUB		NBR_5590	SCH80	1	33.4	4.55	3.2991
FABTUB		NBR_5590	SCH80	1.1/4	42.16	4.85	4.5479
FABTUB		NBR_5590	SCH80	1.1/2	48.26	5.08	5.513
FABTUB		NBR_5590	SCH80	2	60.33	5.54	7.6287
FABTUB		NBR_5590	SCH80	2.1/2	73.03	7.01	11.6315
FABTUB		NBR_5590	SCH80	3	88.9	7.62	15.5661
FABTUB		NBR_5590	SCH80	3.1/2	101.6	8.08	18.9914
FABTUB		NBR_5590	SCH80	4	114.3	8.56	22.7486
FABTUB		NBR_5590	SCH80	5	141.3	9.53	31.561
FABTUB		NBR_5590	SCH80	6	168.28	10.97	43.3714
FABTUB		NBR_5590	SCH80	8	219.08	12.7	65.8737
FABTUB		NBR_5590	SCH80	10	273.05	12.7	83.1002
FABTUB		NBR_5590	SCH80	12	323.85	12.7	99.3149
FABTUB		NBR_5590	SCH160	1/4	13.72	3.3	0.8642
FABTUB		NBR_5590	SCH160	3/8	17.15	4.75	1.4803
FABTUB		NBR_5590	SCH160	1/2	21.34	4.78	1.9894
FABTUB		NBR_5590	SCH160	3/4	26.67	5.56	2.9499
FABTUB		NBR_5590	SCH160	1	33.4	6.36	4.3222
FABTUB		NBR_5590	SCH160	1.1/4	42.16	6.35	5.715
FABTUB		NBR_5590	SCH160	1.1/2	48.26	7.14	7.3789
FABTUB		NBR_5590	SCH160	2	60.33	8.74	11.3323
FABTUB		NBR_5590	SCH160	2.1/2	73.03	9.52	15.1957
FABTUB		NBR_5590	SCH160	3	88.9	11.13	21.7545
FABTUB		NBR_5590	SCH160	4	114.3	13.49	34.1788
FABTUB		NBR_5590	SCH160	5	141.3	15.88	50.0562
FABTUB		NBR_5590	SCH160	6	168.28	18.26	68.8479
FABTUB		NBR_5590	SCH160	8	219.08	23.01	113.3884
FABTUB		NBR_5590	SCH160	10	273.05	28.57	175.5474
FABTUB		NBR_5590	SCH160	12	323.85	33.32	243.2971
FABTUB		NBR_5590	SCHXXS	1/2	21.34	7.47	2.604
FABTUB		NBR_5590	SCHXXS	3/4	26.67	7.82	3.7048
FABTUB		NBR_5590	SCHXXS	1	33.4	9.09	5.5538
FABTUB		NBR_5590	SCHXXS	1.1/4	42.16	9.7	7.9134
FABTUB		NBR_5590	SCHXXS	1.1/2	48.26	10.16	9.7288
FABTUB		NBR_5590	SCHXXS	2	60.33	11.07	13.7051
FABTUB		NBR_5590	SCHXXS	2.1/2	73.03	14.02	20.7929
FABTUB		NBR_5590	SCHXXS	3	88.9	15.24	28.2135
FABTUB		NBR_5590	SCHXXS	3.1/2	101.6	16.15	34.6837
FABTUB		NBR_5590	SCHXXS	4	114.3	17.12	41.814
FABTUB		NBR_5590	SCHXXS	5	141.3	19.05	58.5308
FABTUB		NBR_5590	SCHXXS	6	168.28	21.95	80.7251
FABTUB		NBR_5590	SCHXXS	8	219.08	22.23	109.9805
FABTUB		NBR_5590	SCHXXS	10	273.05	25.4	158.0931
FABTUB		NBR_5590	SCHXXS	12	323.85	25.4	190.5225				
