Fabricante	Classe	Perfil		d	tw	h	tf	bf	R/ec	Mate	Grau
FAB-B		CVS	200x27		200	6.3	184	8	140	5	A572	50
FAB-B		CVS	200x30		200	6.3	181	9.5	140	5	A572	50
FAB-B		CVS	200x36		200	6.3	175	12.5	140	5	A572	50
FAB-B		CVS	200x38		200	8	175	12.5	140	5	A572	50
FAB-B		CVS	200x46		200	8	168	16	140	6	A572	50
FAB-B		CVS	250x30		250	4.75	234	8	170	5	A572	50
FAB-B		CVS	250x33		250	6.3	234	8	170	5	A572	50
FAB-B		CVS	250x40		250	8	231	9.5	170	5	A572	50
FAB-B		CVS	250x47		250	8	225	12.5	170	5	A572	50
FAB-B		CVS	250x56		250	8	218	16	170	6	A572	50
FAB-B		CVS	250x64		250	12.5	218	16	170	6	A572	50
FAB-B		CVS	250x72		250	12.5	212	19	170	6	A572	50
FAB-B		CVS	300x47		300	8	281	9.5	200	5	A572	50
FAB-B		CVS	300x57		300	8	275	12.5	200	5	A572	50
FAB-B		CVS	300x67		300	8	268	16	200	6	A572	50
FAB-B		CVS	300x70		300	9.5	268	16	200	6	A572	50
FAB-B		CVS	300x79		300	9.5	262	19	200	6	A572	50
FAB-B		CVS	300x85		300	12.5	262	19	200	6	A572	50
FAB-B		CVS	300x95		300	12.5	255	22.4	200	8	A572	50
FAB-B		CVS	300x55		300	8	281	9.5	250	5	A572	50
FAB-B		CVS	300x66		300	8	275	12.5	250	5	A572	50
FAB-B		CVS	300x80		300	8	268	16	250	6	A572	50
FAB-B		CVS	300x83		300	9.5	268	16	250	6	A572	50
FAB-B		CVS	300x94		300	9.5	262	19	250	6	A572	50
FAB-B		CVS	300x100		300	12.5	262	19	250	6	A572	50
FAB-B		CVS	300x113		300	12.5	255	22.4	250	8	A572	50
FAB-B		CVS	350x73		350	9.5	325	12.5	250	5	A572	50
FAB-B		CVS	350x87		350	9.5	318	16	250	6	A572	50
FAB-B		CVS	350x98		350	9.5	312	19	250	6	A572	50
FAB-B		CVS	350x105		350	12.5	312	19	250	6	A572	50
FAB-B		CVS	350x118		350	12.5	305	22.4	250	8	A572	50
FAB-B		CVS	350x128		350	12.5	300	25	250	8	A572	50
FAB-B		CVS	350x136		350	16	300	25	250	8	A572	50
FAB-B		CVS	400x82		400	8	375	12.5	300	5	A572	50
FAB-B		CVS	400x87		400	9.5	375	12.5	300	5	A572	50
FAB-B		CVS	400x103		400	9.5	368	16	300	6	A572	50
FAB-B		CVS	400x116		400	9.5	362	19	300	6	A572	50
FAB-B		CVS	400x125		400	12.5	362	19	300	6	A572	50
FAB-B		CVS	400x140		400	12.5	355	22.4	300	8	A572	50
FAB-B		CVS	400x152		400	12.5	350	25	300	8	A572	50
FAB-B		CVS	400x162		400	16	350	25	300	8	A572	50
FAB-B		CVS	450x116		450	12.5	418	16	300	6	A572	50
FAB-B		CVS	450x130		450	12.5	412	19	300	6	A572	50
FAB-B		CVS	450x141		450	16	412	19	300	6	A572	50
FAB-B		CVS	450x156		450	16	405	22.4	300	8	A572	50
FAB-B		CVS	450x168		450	16	400	25	300	8	A572	50
FAB-B		CVS	450x177		450	19	400	25	300	8	A572	50
FAB-B		CVS	450x188		450	22.4	400	25	300	8	A572	50
FAB-B		CVS	450x206		450	19	387	31.5	300	8	A572	50
FAB-B		CVS	450x216		450	22.4	387	31.5	300	8	A572	50
FAB-B		CVS	500x123		500	9.5	468	16	350	6	A572	50
FAB-B		CVS	500x134		500	12.5	468	16	350	6	A572	50
FAB-B		CVS	500x150		500	12.5	462	19	350	6	A572	50
FAB-B		CVS	500x162		500	16	462	19	350	6	A572	50
FAB-B		CVS	500x180		500	16	455	22.4	350	8	A572	50
FAB-B		CVS	500x194		500	16	450	25	350	8	A572	50
FAB-B		CVS	500x204		500	19	450	25	350	8	A572	50
FAB-B		CVS	500x217		500	22.4	450	25	350	8	A572	50
FAB-B		CVS	500x238		500	19	437	31.5	350	8	A572	50
FAB-B		CVS	500x250		500	22.4	437	31.5	350	8	A572	50
FAB-B		CVS	500x259		500	25	437	31.5	350	8	A572	50
FAB-B		CVS	500x281		500	22.4	425	37.5	350	8	A572	50
FAB-B		CVS	500x317		500	22.4	411	44.5	350	8	A572	50
FAB-B		CVS	550x184		550	16	512	19	400	6	A572	50
FAB-B		CVS	550x204		550	16	505	22.4	400	8	A572	50
FAB-B		CVS	550x220		550	16	500	25	400	8	A572	50
FAB-B		CVS	550x232		550	19	500	25	400	8	A572	50
FAB-B		CVS	550x245		550	22.4	500	25	400	8	A572	50
FAB-B		CVS	550x270		550	19	487	31.5	400	8	A572	50
FAB-B		CVS	550x283		550	22.4	487	31.5	400	8	A572	50
FAB-B		CVS	550x293		550	25	487	31.5	400	8	A572	50
FAB-B		CVS	550x319		550	22.4	475	37.5	400	8	A572	50
FAB-B		CVS	550x329		550	25	475	37.5	400	8	A572	50
FAB-B		CVS	550x361		550	22.4	461	44.5	400	8	A572	50
FAB-B		CVS	550x370		550	25	461	44.5	400	8	A572	50
FAB-B		CVS	600x156		600	12.5	568	16	400	6	A572	50
FAB-B		CVS	600x190		600	16	562	19	400	6	A572	50
FAB-B		CVS	600x210		600	16	555	22.4	400	8	A572	50
FAB-B		CVS	600x226		600	16	550	25	400	8	A572	50
FAB-B		CVS	600x239		600	19	550	25	400	8	A572	50
FAB-B		CVS	600x278		600	19	537	31.5	400	8	A572	50
FAB-B		CVS	600x292		600	22.4	537	31.5	400	8	A572	50
FAB-B		CVS	600x328		600	22.4	525	37.5	400	8	A572	50
FAB-B		CVS	600x339		600	25	525	37.5	400	8	A572	50
FAB-B		CVS	600x369		600	22.4	511	44.5	400	8	A572	50
FAB-B		CVS	650x211		650	16	612	19	450	6	A572	50
FAB-B		CVS	650x234		650	16	605	22.4	450	8	A572	50
FAB-B		CVS	650x252		650	16	600	25	450	8	A572	50
FAB-B		CVS	650x266		650	19	600	25	450	8	A572	50
FAB-B		CVS	650x282		650	22.4	600	25	450	8	A572	50
FAB-B		CVS	650x310		650	19	587	31.5	450	8	A572	50
FAB-B		CVS	650x326		650	22.4	587	31.5	450	8	A572	50
FAB-B		CVS	650x351		650	19	575	37.5	450	8	A572	50
FAB-B		CVS	650x366		650	22.4	575	37.5	450	8	A572	50
FAB-B		CVS	650x413		650	22.4	561	44.5	450	8	A572	50
FAB-B		CVS	650x461		650	25	550	50	450	8	A572	50
FAB-B		CVS	700x214		700	12.5	662	19	500	6	A572	50
FAB-B		CVS	700x232		700	16	662	19	500	6	A572	50
FAB-B		CVS	700x278		700	16	650	25	500	8	A572	50
FAB-B		CVS	700x293		700	19	650	25	500	8	A572	50
FAB-B		CVS	700x327		700	16	637	31.5	500	8	A572	50
FAB-B		CVS	700x342		700	19	637	31.5	500	8	A572	50
FAB-B		CVS	750x284		750	16	700	25	500	8	A572	50
FAB-B		CVS	750x301		750	19	700	25	500	8	A572	50
FAB-B		CVS	750x334		750	16	687	31.5	500	8	A572	50
FAB-B		CVS	750x350		750	19	687	31.5	500	8	A572	50
FAB-B		CVS	800x288		800	16	755	22.4	550	8	A572	50
FAB-B		CVS	800x310		800	16	750	25	550	8	A572	50
FAB-B		CVS	800x328		800	19	750	25	550	8	A572	50
FAB-B		CVS	800x365		800	16	737	31.5	550	8	A572	50
FAB-B		CVS	800x382		800	19	737	31.5	550	8	A572	50
FAB-B		CVS	850x336		850	16	800	25	600	8	A572	50
FAB-B		CVS	850x355		850	19	800	25	600	8	A572	50
FAB-B		CVS	850x396		850	16	787	31.5	600	8	A572	50
FAB-B		CVS	850x414		850	19	787	31.5	600	8	A572	50
FAB-B		CVS	900x342		900	16	850	25	600	8	A572	50
FAB-B		CVS	900x362		900	19	850	25	600	8	A572	50
FAB-B		CVS	900x402		900	16	837	31.5	600	8	A572	50
FAB-B		CVS	900x422		900	19	837	31.5	600	8	A572	50
FAB-B		CVS	950x368		950	16	900	25	650	8	A572	50
FAB-B		CVS	950x389		950	19	900	25	650	8	A572	50
FAB-B		CVS	950x433		950	16	887	31.5	650	8	A572	50
FAB-B		CVS	950x454		950	19	887	31.5	650	8	A572	50
FAB-B		CVS	1000x394	1000	16	950	25	700	8	A572	50
FAB-B		CVS	1000x416	1000	19	950	25	700	8	A572	50
FAB-B		CVS	1000x464	1000	16	937	31.5	700	8	A572	50
FAB-B		CVS	1000x486	1000	19	937	31.5	700	8	A572	50


