Fabric	Classe	Perfil	d	tw	h	tf	bf	ec	Mate	Grau
GERDAU	W	610x217	627	16.5	0000	27.7	328	12.7	A572	50
GERDAU	W	610x195	622	15.4	0000	24.4	328	12.7	A572	50
GERDAU	W	610x174	616	14	0000	21.6	325	12.7	A572	50
GERDAU	W	610x155	611	12.7	0000	19.1	324	12.7	A572	50
GERDAU	W	610x153	623	14	0000	24.9	229	12.7	A572	50
GERDAU	W	610x140	617	13.1	0000	22.2	230	12.9	A572	50
GERDAU	W	610x125	612	11.9	0000	19.6	229	12.7	A572	50
GERDAU	W	610x113	608	11.2	0000	17.3	228	12.7	A572	50
GERDAU	W	610x101	603	10.5	0000	14.9	228	12.8	A572	50
GERDAU	W	610x92	603	10.9	0000	15	179	12.7	A572	50
GERDAU	W	610x82	599	10	0000	12.8	178	12.9	A572	50
GERDAU	W	530x138	549	14.7	0000	23.6	214	12.7	A572	50
GERDAU	W	530x123	544	13.1	0000	21.2	212	12.8	A572	50
GERDAU	W	530x109	539	11.6	0000	18.8	211	12.7	A572	50
GERDAU	W	530x101	537	10.9	0000	17.4	210	12.8	A572	50
GERDAU	W	530x92	533	10.2	0000	15.6	209	12.8	A572	50
GERDAU	W	530x85	535	10.3	0000	16.5	166	12.7	A572	50
GERDAU	W	530x82	528	9.53	0000	13.3	209	12.6	A572	50
GERDAU	W	530x74	529	9.65	0000	13.6	166	12.8	A572	50
GERDAU	W	530x72	524	8.89	0000	10.9	207	12.7	A572	50
GERDAU	W	530x66	525	8.89	0000	11.4	165	12.7	A572	50
GERDAU	W	460x106	469	12.6	0000	20.6	194	10.1	A572	50
GERDAU	W	460x97	466	11.4	0000	19.1	193	10.1	A572	50
GERDAU	W	460x89	463	10.5	0000	17.7	192	10.2	A572	50
GERDAU	W	460x82	460	9.91	0000	16	191	10.2	A572	50
GERDAU	W	460x74	457	9.02	0000	14.5	190	10.2	A572	50
GERDAU	W	460x68	459	9.14	0000	15.4	154	10.3	A572	50
GERDAU	W	460x60	455	8	0000	13.3	153	10.2	A572	50
GERDAU	W	460x52	450	7.62	0000	10.8	152	10.2	A572	50
GERDAU	W	410x85	417	10.9	0000	18.2	181	10.2	A572	50
GERDAU	W	410x75	413	9.65	0000	16	180	10.2	A572	50
GERDAU	W	410x67	410	8.76	0000	14.4	179	10.2	A572	50
